N,HMGB1,siRNA,Treat,Group
1,0.049718315,Control,DMSO,DMSO_Control
1,0.066387613,siGSDME #4,DMSO,DMSO_siGSDME #4
1,0.012477148,siGSDME #18,DMSO,DMSO_siGSDME #18
1,0.193412917,Control,ETO,ETO_Control
1,0.04460422,siGSDME #4,ETO,ETO_siGSDME #4
1,0.027922564,siGSDME #18,ETO,ETO_siGSDME #18
2,0.001081294,Control,DMSO,DMSO_Control
2,0.002457779,siGSDME #4,DMSO,DMSO_siGSDME #4
2,0.000265192,siGSDME #18,DMSO,DMSO_siGSDME #18
2,0.188173807,Control,ETO,ETO_Control
2,0.112166845,siGSDME #4,ETO,ETO_siGSDME #4
2,0.09037786,siGSDME #18,ETO,ETO_siGSDME #18
3,0.000844939,Control,DMSO,DMSO_Control
3,0.001709661,siGSDME #4,DMSO,DMSO_siGSDME #4
3,0.000140742,siGSDME #18,DMSO,DMSO_siGSDME #18
3,0.227148759,Control,ETO,ETO_Control
3,0.111550875,siGSDME #4,ETO,ETO_siGSDME #4
3,0.053127801,siGSDME #18,ETO,ETO_siGSDME #18
