N,Cells,Condition,GSDM,GSDM_Frag,Percentage
1,MP38,DMSO,GSDME,GSDME-FL,0.98167481
1,MP38,ETO,GSDME,GSDME-FL,0.60660218
1,MP38,IACs,GSDME,GSDME-FL,0.986780271
1,MP38,WZB,GSDME,GSDME-FL,0.699803186
1,MP38,6AN,GSDME,GSDME-FL,0.879438634
1,MP38,DMSO,GSDME,GSDME-NT,0.01832519
1,MP38,ETO,GSDME,GSDME-NT,0.39339782
1,MP38,IACs,GSDME,GSDME-NT,0.013219729
1,MP38,WZB,GSDME,GSDME-NT,0.300196814
1,MP38,6AN,GSDME,GSDME-NT,0.120561366
2,MP38,DMSO,GSDME,GSDME-FL,0.960143769
2,MP38,ETO,GSDME,GSDME-FL,0.746113781
2,MP38,IACs,GSDME,GSDME-FL,0.963865136
2,MP38,WZB,GSDME,GSDME-FL,0.923944499
2,MP38,6AN,GSDME,GSDME-FL,0.975482382
2,MP38,DMSO,GSDME,GSDME-NT,0.039856231
2,MP38,ETO,GSDME,GSDME-NT,0.253886219
2,MP38,IACs,GSDME,GSDME-NT,0.036134864
2,MP38,WZB,GSDME,GSDME-NT,0.076055501
2,MP38,6AN,GSDME,GSDME-NT,0.024517618
3,MP38,DMSO,GSDME,GSDME-FL,0.95207098
3,MP38,ETO,GSDME,GSDME-FL,0.308854423
3,MP38,IACs,GSDME,GSDME-FL,0.949265566
3,MP38,WZB,GSDME,GSDME-FL,0.70388475
3,MP38,6AN,GSDME,GSDME-FL,0.861092687
3,MP38,DMSO,GSDME,GSDME-NT,0.04792902
3,MP38,ETO,GSDME,GSDME-NT,0.691145577
3,MP38,IACs,GSDME,GSDME-NT,0.050734434
3,MP38,WZB,GSDME,GSDME-NT,0.29611525
3,MP38,6AN,GSDME,GSDME-NT,0.138907313
1,MP38,DMSO,GSDMD,GSDMD-FL,0.962695494
1,MP38,ETO,GSDMD,GSDMD-FL,0.908749251
1,MP38,IACs,GSDMD,GSDMD-FL,0.970449352
1,MP38,WZB,GSDMD,GSDMD-FL,0.922154845
1,MP38,6AN,GSDMD,GSDMD-FL,0.968920495
1,MP38,DMSO,GSDMD,GSDMD-43kDa,0.03760431
1,MP38,ETO,GSDMD,GSDMD-43kDa,0.091590031
1,MP38,IACs,GSDMD,GSDMD-43kDa,0.029634566
1,MP38,WZB,GSDMD,GSDMD-43kDa,0.079186973
1,MP38,6AN,GSDMD,GSDMD-43kDa,0.030952252
1,MP38,DMSO,GSDMD,GSDMD-NT,0
1,MP38,ETO,GSDMD,GSDMD-NT,0
1,MP38,IACs,GSDMD,GSDMD-NT,0
1,MP38,WZB,GSDMD,GSDMD-NT,0
1,MP38,6AN,GSDMD,GSDMD-NT,0
2,MP38,DMSO,GSDMD,GSDMD-FL,0.975957478
2,MP38,ETO,GSDMD,GSDMD-FL,0.873327798
2,MP38,IACs,GSDMD,GSDMD-FL,0.97649921
2,MP38,WZB,GSDMD,GSDMD-FL,0.771873146
2,MP38,6AN,GSDMD,GSDMD-FL,0.945606112
2,MP38,DMSO,GSDMD,GSDMD-43kDa,0.014397791
2,MP38,ETO,GSDMD,GSDMD-43kDa,0.118481267
2,MP38,IACs,GSDMD,GSDMD-43kDa,0.017494305
2,MP38,WZB,GSDMD,GSDMD-43kDa,0.221684142
2,MP38,6AN,GSDMD,GSDMD-43kDa,0.046780193
2,MP38,DMSO,GSDMD,GSDMD-NT,0.009644731
2,MP38,ETO,GSDMD,GSDMD-NT,0.008190936
2,MP38,IACs,GSDMD,GSDMD-NT,0.006006485
2,MP38,WZB,GSDMD,GSDMD-NT,0.006442711
2,MP38,6AN,GSDMD,GSDMD-NT,0.007613694
3,MP38,DMSO,GSDMD,GSDMD-FL,0.91459017
3,MP38,ETO,GSDMD,GSDMD-FL,0.73513141
3,MP38,IACs,GSDMD,GSDMD-FL,0.93327232
3,MP38,WZB,GSDMD,GSDMD-FL,0.925888127
3,MP38,6AN,GSDMD,GSDMD-FL,0.930681739
3,MP38,DMSO,GSDMD,GSDMD-43kDa,0.073991306
3,MP38,ETO,GSDMD,GSDMD-43kDa,0.253157795
3,MP38,IACs,GSDMD,GSDMD-43kDa,0.055068454
3,MP38,WZB,GSDMD,GSDMD-43kDa,0.048136011
3,MP38,6AN,GSDMD,GSDMD-43kDa,0.065661847
3,MP38,DMSO,GSDMD,GSDMD-NT,0.011418523
3,MP38,ETO,GSDMD,GSDMD-NT,0.011710795
3,MP38,IACs,GSDMD,GSDMD-NT,0.011659226
3,MP38,WZB,GSDMD,GSDMD-NT,0.025975862
3,MP38,6AN,GSDMD,GSDMD-NT,0.003656415
1,MP46,DMSO,GSDME,GSDME-FL,0.954653425
1,MP46,ETO,GSDME,GSDME-FL,0.541531441
1,MP46,IACs,GSDME,GSDME-FL,0.893343616
1,MP46,WZB,GSDME,GSDME-FL,0.385266872
1,MP46,6AN,GSDME,GSDME-FL,0.872549291
1,MP46,DMSO,GSDME,GSDME-NT,0.045346575
1,MP46,ETO,GSDME,GSDME-NT,0.458468559
1,MP46,IACs,GSDME,GSDME-NT,0.106656384
1,MP46,WZB,GSDME,GSDME-NT,0.614733128
1,MP46,6AN,GSDME,GSDME-NT,0.127450709
2,MP46,DMSO,GSDME,GSDME-FL,0.95243765
2,MP46,ETO,GSDME,GSDME-FL,0.616778013
2,MP46,IACs,GSDME,GSDME-FL,0.941755121
2,MP46,WZB,GSDME,GSDME-FL,0.510664316
2,MP46,6AN,GSDME,GSDME-FL,0.942745126
2,MP46,DMSO,GSDME,GSDME-NT,0.04756235
2,MP46,ETO,GSDME,GSDME-NT,0.383221987
2,MP46,IACs,GSDME,GSDME-NT,0.058244879
2,MP46,WZB,GSDME,GSDME-NT,0.489335684
2,MP46,6AN,GSDME,GSDME-NT,0.057254874
3,MP46,DMSO,GSDME,GSDME-FL,0.937071357
3,MP46,ETO,GSDME,GSDME-FL,0.644254524
3,MP46,IACs,GSDME,GSDME-FL,0.948377912
3,MP46,WZB,GSDME,GSDME-FL,0.746700424
3,MP46,6AN,GSDME,GSDME-FL,0.954051583
3,MP46,DMSO,GSDME,GSDME-NT,0.062928643
3,MP46,ETO,GSDME,GSDME-NT,0.355745476
3,MP46,IACs,GSDME,GSDME-NT,0.051622088
3,MP46,WZB,GSDME,GSDME-NT,0.253299576
3,MP46,6AN,GSDME,GSDME-NT,0.045948417
1,MP46,DMSO,GSDMD,GSDMD-FL,0.940034072
1,MP46,ETO,GSDMD,GSDMD-FL,0.644376801
1,MP46,IACs,GSDMD,GSDMD-FL,0.910466713
1,MP46,WZB,GSDMD,GSDMD-FL,0.721241747
1,MP46,6AN,GSDMD,GSDMD-FL,0.902738579
1,MP46,DMSO,GSDMD,GSDMD-43kDa,0.052093764
1,MP46,ETO,GSDMD,GSDMD-43kDa,0.34949707
1,MP46,IACs,GSDMD,GSDMD-43kDa,0.084182815
1,MP46,WZB,GSDMD,GSDMD-43kDa,0.269759377
1,MP46,6AN,GSDMD,GSDMD-43kDa,0.089793685
1,MP46,DMSO,GSDMD,GSDMD-NT,0.007872165
1,MP46,ETO,GSDMD,GSDMD-NT,0.006126129
1,MP46,IACs,GSDMD,GSDMD-NT,0.005350471
1,MP46,WZB,GSDMD,GSDMD-NT,0.008998876
1,MP46,6AN,GSDMD,GSDMD-NT,0.007467736
2,MP46,DMSO,GSDMD,GSDMD-FL,0.919766167
2,MP46,ETO,GSDMD,GSDMD-FL,0.737225521
2,MP46,IACs,GSDMD,GSDMD-FL,0.88877793
2,MP46,WZB,GSDMD,GSDMD-FL,0.766040945
2,MP46,6AN,GSDMD,GSDMD-FL,0.928456002
2,MP46,DMSO,GSDMD,GSDMD-43kDa,0.074755417
2,MP46,ETO,GSDMD,GSDMD-43kDa,0.256535973
2,MP46,IACs,GSDMD,GSDMD-43kDa,0.103346378
2,MP46,WZB,GSDMD,GSDMD-43kDa,0.228951887
2,MP46,6AN,GSDMD,GSDMD-43kDa,0.067013517
2,MP46,DMSO,GSDMD,GSDMD-NT,0.005478416
2,MP46,ETO,GSDMD,GSDMD-NT,0.006238506
2,MP46,IACs,GSDMD,GSDMD-NT,0.007875693
2,MP46,WZB,GSDMD,GSDMD-NT,0.005007168
2,MP46,6AN,GSDMD,GSDMD-NT,0.004530482
3,MP46,DMSO,GSDMD,GSDMD-FL,0.886943038
3,MP46,ETO,GSDMD,GSDMD-FL,0.672517676
3,MP46,IACs,GSDMD,GSDMD-FL,0.912873714
3,MP46,WZB,GSDMD,GSDMD-FL,0.849383813
3,MP46,6AN,GSDMD,GSDMD-FL,0.901139282
3,MP46,DMSO,GSDMD,GSDMD-43kDa,0.062256885
3,MP46,ETO,GSDMD,GSDMD-43kDa,0.318889521
3,MP46,IACs,GSDMD,GSDMD-43kDa,0.067003111
3,MP46,WZB,GSDMD,GSDMD-43kDa,0.065305716
3,MP46,6AN,GSDMD,GSDMD-43kDa,0.064732849
3,MP46,DMSO,GSDMD,GSDMD-NT,0.050800077
3,MP46,ETO,GSDMD,GSDMD-NT,0.008592803
3,MP46,IACs,GSDMD,GSDMD-NT,0.020123175
3,MP46,WZB,GSDMD,GSDMD-NT,0.085310471
3,MP46,6AN,GSDMD,GSDMD-NT,0.034127869
1,MP65,DMSO,GSDME,GSDME-FL,0.951788119
1,MP65,ETO,GSDME,GSDME-FL,0.675113116
1,MP65,IACs,GSDME,GSDME-FL,0.961166751
1,MP65,WZB,GSDME,GSDME-FL,0.918908947
1,MP65,6AN,GSDME,GSDME-FL,0.950362559
1,MP65,DMSO,GSDME,GSDME-NT,0.048211881
1,MP65,ETO,GSDME,GSDME-NT,0.324886884
1,MP65,IACs,GSDME,GSDME-NT,0.038833249
1,MP65,WZB,GSDME,GSDME-NT,0.081091053
1,MP65,6AN,GSDME,GSDME-NT,0.049637441
2,MP65,DMSO,GSDME,GSDME-FL,0.947852716
2,MP65,ETO,GSDME,GSDME-FL,0.576120522
2,MP65,IACs,GSDME,GSDME-FL,0.952729533
2,MP65,WZB,GSDME,GSDME-FL,0.933318783
2,MP65,6AN,GSDME,GSDME-FL,0.956803677
2,MP65,DMSO,GSDME,GSDME-NT,0.052147284
2,MP65,ETO,GSDME,GSDME-NT,0.423879478
2,MP65,IACs,GSDME,GSDME-NT,0.047270467
2,MP65,WZB,GSDME,GSDME-NT,0.066681217
2,MP65,6AN,GSDME,GSDME-NT,0.043196323
3,MP65,DMSO,GSDME,GSDME-FL,0.937134351
3,MP65,ETO,GSDME,GSDME-FL,0.406649091
3,MP65,IACs,GSDME,GSDME-FL,0.863951702
3,MP65,WZB,GSDME,GSDME-FL,0.764520582
3,MP65,6AN,GSDME,GSDME-FL,0.909510608
3,MP65,DMSO,GSDME,GSDME-NT,0.062865649
3,MP65,ETO,GSDME,GSDME-NT,0.593350909
3,MP65,IACs,GSDME,GSDME-NT,0.136048298
3,MP65,WZB,GSDME,GSDME-NT,0.235479418
3,MP65,6AN,GSDME,GSDME-NT,0.090489392
1,MP65,DMSO,GSDMD,GSDMD-FL,0.915471963
1,MP65,ETO,GSDMD,GSDMD-FL,0.77265957
1,MP65,IACs,GSDMD,GSDMD-FL,0.887780009
1,MP65,WZB,GSDMD,GSDMD-FL,0.893769398
1,MP65,6AN,GSDMD,GSDMD-FL,0.907839371
1,MP65,DMSO,GSDMD,GSDMD-43kDa,0.074337065
1,MP65,ETO,GSDMD,GSDMD-43kDa,0.215263524
1,MP65,IACs,GSDMD,GSDMD-43kDa,0.100729386
1,MP65,WZB,GSDMD,GSDMD-43kDa,0.094446101
1,MP65,6AN,GSDMD,GSDMD-43kDa,0.082822298
1,MP65,DMSO,GSDMD,GSDMD-NT,0.010190972
1,MP65,ETO,GSDMD,GSDMD-NT,0.012076906
1,MP65,IACs,GSDMD,GSDMD-NT,0.011490605
1,MP65,WZB,GSDMD,GSDMD-NT,0.011784501
1,MP65,6AN,GSDMD,GSDMD-NT,0.00933833
2,MP65,DMSO,GSDMD,GSDMD-FL,0.88698348
2,MP65,ETO,GSDMD,GSDMD-FL,0.764249481
2,MP65,IACs,GSDMD,GSDMD-FL,0.876603379
2,MP65,WZB,GSDMD,GSDMD-FL,0.856100677
2,MP65,6AN,GSDMD,GSDMD-FL,0.864206872
2,MP65,DMSO,GSDMD,GSDMD-43kDa,0.100644833
2,MP65,ETO,GSDMD,GSDMD-43kDa,0.224448215
2,MP65,IACs,GSDMD,GSDMD-43kDa,0.10259372
2,MP65,WZB,GSDMD,GSDMD-43kDa,0.125659018
2,MP65,6AN,GSDMD,GSDMD-43kDa,0.118799731
2,MP65,DMSO,GSDMD,GSDMD-NT,0.012371687
2,MP65,ETO,GSDMD,GSDMD-NT,0.011302304
2,MP65,IACs,GSDMD,GSDMD-NT,0.020802901
2,MP65,WZB,GSDMD,GSDMD-NT,0.018240305
2,MP65,6AN,GSDMD,GSDMD-NT,0.016993397
3,MP65,DMSO,GSDMD,GSDMD-FL,0.925135368
3,MP65,ETO,GSDMD,GSDMD-FL,0.455657297
3,MP65,IACs,GSDMD,GSDMD-FL,0.844313397
3,MP65,WZB,GSDMD,GSDMD-FL,0.92666325
3,MP65,6AN,GSDMD,GSDMD-FL,0.90935874
3,MP65,DMSO,GSDMD,GSDMD-43kDa,0.0723769
3,MP65,ETO,GSDMD,GSDMD-43kDa,0.541405735
3,MP65,IACs,GSDMD,GSDMD-43kDa,0.150965001
3,MP65,WZB,GSDMD,GSDMD-43kDa,0.07307272
3,MP65,6AN,GSDMD,GSDMD-43kDa,0.085672603
3,MP65,DMSO,GSDMD,GSDMD-NT,0.002487731
3,MP65,ETO,GSDMD,GSDMD-NT,0.002936968
3,MP65,IACs,GSDMD,GSDMD-NT,0.004721603
3,MP65,WZB,GSDMD,GSDMD-NT,0.00026403
3,MP65,6AN,GSDMD,GSDMD-NT,0.004968658
