Exp.N,Hour,Treat,red.per
1,0,DMSO,0.00997301
1,2,DMSO,0.01053043
1,4,DMSO,0.011600081
1,6,DMSO,0.011901852
1,8,DMSO,0.012164296
1,10,DMSO,0.01239273
1,12,DMSO,0.012666325
1,14,DMSO,0.012978587
1,16,DMSO,0.01323782
1,18,DMSO,0.013541685
1,20,DMSO,0.0140747
1,22,DMSO,0.014632354
1,24,DMSO,0.015066215
1,26,DMSO,0.015571188
1,28,DMSO,0.016572827
1,30,DMSO,0.017260122
1,32,DMSO,0.018189264
1,34,DMSO,0.018749368
1,36,DMSO,0.019351783
1,38,DMSO,0.019977572
1,40,DMSO,0.020781442
1,42,DMSO,0.02125996
1,44,DMSO,0.021784642
1,46,DMSO,0.022132024
1,48,DMSO,0.02258572
1,50,DMSO,0.023157132
1,52,DMSO,0.023650469
1,54,DMSO,0.0238276
1,56,DMSO,0.024268953
1,58,DMSO,0.025094589
1,60,DMSO,0.025636201
1,62,DMSO,0.026394761
1,64,DMSO,0.026700314
1,66,DMSO,0.027707848
1,68,DMSO,0.028459045
1,70,DMSO,0.029188034
1,72,DMSO,0.030093986
1,74,DMSO,0.031083835
1,76,DMSO,0.031674563
1,78,DMSO,0.032709432
1,80,DMSO,0.033678893
1,82,DMSO,0.034369094
1,84,DMSO,0.035124427
1,86,DMSO,0.035503392
1,88,DMSO,0.036750047
1,90,DMSO,0.037694042
1,0,ETO 50 然,0.008752472
1,2,ETO 50 然,0.00978289
1,4,ETO 50 然,0.01041096
1,6,ETO 50 然,0.010793621
1,8,ETO 50 然,0.011027178
1,10,ETO 50 然,0.011323551
1,12,ETO 50 然,0.011669594
1,14,ETO 50 然,0.011990686
1,16,ETO 50 然,0.012208846
1,18,ETO 50 然,0.012478955
1,20,ETO 50 然,0.012803122
1,22,ETO 50 然,0.013218606
1,24,ETO 50 然,0.013558585
1,26,ETO 50 然,0.014097517
1,28,ETO 50 然,0.014412186
1,30,ETO 50 然,0.014855839
1,32,ETO 50 然,0.015349712
1,34,ETO 50 然,0.015800225
1,36,ETO 50 然,0.016601052
1,38,ETO 50 然,0.017224172
1,40,ETO 50 然,0.017965192
1,42,ETO 50 然,0.019000971
1,44,ETO 50 然,0.01996808
1,46,ETO 50 然,0.021428017
1,48,ETO 50 然,0.022588118
1,50,ETO 50 然,0.023812152
1,52,ETO 50 然,0.025737977
1,54,ETO 50 然,0.027347286
1,56,ETO 50 然,0.028915287
1,58,ETO 50 然,0.030648326
1,60,ETO 50 然,0.032781233
1,62,ETO 50 然,0.035002139
1,64,ETO 50 然,0.036899353
1,66,ETO 50 然,0.039484631
1,68,ETO 50 然,0.042047261
1,70,ETO 50 然,0.043934961
1,72,ETO 50 然,0.047001049
1,74,ETO 50 然,0.050161612
1,76,ETO 50 然,0.053138439
1,78,ETO 50 然,0.05638148
1,80,ETO 50 然,0.059886884
1,82,ETO 50 然,0.063865295
1,84,ETO 50 然,0.066915996
1,86,ETO 50 然,0.070356974
1,88,ETO 50 然,0.074142847
1,90,ETO 50 然,0.077640829
1,0,ETO 75 然,0.008674379
1,2,ETO 75 然,0.009599203
1,4,ETO 75 然,0.010361228
1,6,ETO 75 然,0.010900125
1,8,ETO 75 然,0.011243868
1,10,ETO 75 然,0.011792557
1,12,ETO 75 然,0.012188201
1,14,ETO 75 然,0.012618735
1,16,ETO 75 然,0.013333108
1,18,ETO 75 然,0.013934331
1,20,ETO 75 然,0.014598556
1,22,ETO 75 然,0.015639256
1,24,ETO 75 然,0.016702989
1,26,ETO 75 然,0.017519982
1,28,ETO 75 然,0.018950642
1,30,ETO 75 然,0.020232362
1,32,ETO 75 然,0.022047562
1,34,ETO 75 然,0.023714113
1,36,ETO 75 然,0.025958702
1,38,ETO 75 然,0.028672522
