Exp.N,Treat,siRNA,AUC,Group,Cells
1,DMSO,Control,0.064216092,siCon_DMSO,MP38
1,DMSO,GSDME#4,0.068589265,siE#4_DMSO,MP38
1,DMSO,GSDME#18,0.063272115,siE#18_DMSO,MP38
1,DMSO,GSDMD#1,0.381405194,siD#1_DMSO,MP38
1,DMSO,GSDMD#19,0.050340129,siD#19_DMSO,MP38
1,ETO 75uM,Control,0.835572649,siCon_ETO,MP38
1,ETO 75uM,GSDME#4,0.607907816,siE#4_ETO,MP38
1,ETO 75uM,GSDME#18,0.371284918,siE#18_ETO,MP38
1,ETO 75uM,GSDMD#1,1.795764585,siD#1_ETO,MP38
1,ETO 75uM,GSDMD#19,1.032203897,siD#19_ETO,MP38
2,DMSO,Control,0.062738595,siCon_DMSO,MP38
2,DMSO,GSDME#4,0.053023445,siE#4_DMSO,MP38
2,DMSO,GSDME#18,0.047394791,siE#18_DMSO,MP38
2,DMSO,GSDMD#1,0.427608447,siD#1_DMSO,MP38
2,DMSO,GSDMD#19,0.069226579,siD#19_DMSO,MP38
2,ETO 75uM,Control,0.89124164,siCon_ETO,MP38
2,ETO 75uM,GSDME#4,0.456542408,siE#4_ETO,MP38
2,ETO 75uM,GSDME#18,0.327368509,siE#18_ETO,MP38
2,ETO 75uM,GSDMD#1,1.934388948,siD#1_ETO,MP38
2,ETO 75uM,GSDMD#19,0.901647615,siD#19_ETO,MP38
3,DMSO,Control,0.345051889,siCon_DMSO,MP38
3,DMSO,GSDME#4,0.294363023,siE#4_DMSO,MP38
3,DMSO,GSDME#18,0.296594243,siE#18_DMSO,MP38
3,DMSO,GSDMD#1,0.384756482,siD#1_DMSO,MP38
3,DMSO,GSDMD#19,0.455252775,siD#19_DMSO,MP38
3,ETO 75uM,Control,1.155673186,siCon_ETO,MP38
3,ETO 75uM,GSDME#4,0.649132939,siE#4_ETO,MP38
3,ETO 75uM,GSDME#18,0.713241773,siE#18_ETO,MP38
3,ETO 75uM,GSDMD#1,1.425404539,siD#1_ETO,MP38
3,ETO 75uM,GSDMD#19,1.207949977,siD#19_ETO,MP38
4,DMSO,Control,0.46001598,siCon_DMSO,MP38
4,DMSO,GSDME#4,0.44604117,siE#4_DMSO,MP38
4,DMSO,GSDME#18,0.40422433,siE#18_DMSO,MP38
4,DMSO,GSDMD#1,0.4716556,siD#1_DMSO,MP38
4,DMSO,GSDMD#19,0.53319664,siD#19_DMSO,MP38
4,ETO 75uM,Control,0.834616346,siCon_ETO,MP38
4,ETO 75uM,GSDME#4,0.712784804,siE#4_ETO,MP38
4,ETO 75uM,GSDME#18,0.620407021,siE#18_ETO,MP38
4,ETO 75uM,GSDMD#1,1.388660621,siD#1_ETO,MP38
4,ETO 75uM,GSDMD#19,0.968816377,siD#19_ETO,MP38
