Exp.N,Treat,siRNA,AUC,Group
1,DMSO,Control,1.034712899,siCon_DMSO
1,DMSO,GSDME#4,1.388282898,siE#4_DMSO
1,DMSO,GSDME#18,0.606576052,siE#18_DMSO
1,DMSO,GSDMD#1,1.281373265,siD#1_DMSO
1,DMSO,GSDMD#19,0.77828613,siD#19_DMSO
1,ETO 75uM,Control,4.557180328,siCon_ETO
1,ETO 75uM,GSDME#4,2.767378903,siE#4_ETO
1,ETO 75uM,GSDME#18,2.801172252,siE#18_ETO
1,ETO 75uM,GSDMD#1,5.694306141,siD#1_ETO
1,ETO 75uM,GSDMD#19,6.005057141,siD#19_ETO
2,DMSO,Control,0.590338229,siCon_DMSO
2,DMSO,GSDME#4,0.458002449,siE#4_DMSO
2,DMSO,GSDME#18,0.937916413,siE#18_DMSO
2,DMSO,GSDMD#1,1.454155393,siD#1_DMSO
2,DMSO,GSDMD#19,0.618864917,siD#19_DMSO
2,ETO 75uM,Control,5.885932896,siCon_ETO
2,ETO 75uM,GSDME#4,2.764013445,siE#4_ETO
2,ETO 75uM,GSDME#18,3.371934379,siE#18_ETO
2,ETO 75uM,GSDMD#1,4.990634865,siD#1_ETO
2,ETO 75uM,GSDMD#19,5.842533022,siD#19_ETO
3,DMSO,Control,0.33145375,siCon_DMSO
3,DMSO,GSDME#4,0.25764887,siE#4_DMSO
3,DMSO,GSDME#18,0.24176941,siE#18_DMSO
3,DMSO,GSDMD#1,0.272197327,siD#1_DMSO
3,DMSO,GSDMD#19,0.281409966,siD#19_DMSO
3,ETO 75uM,Control,5.395656556,siCon_ETO
3,ETO 75uM,GSDME#4,3.978385946,siE#4_ETO
3,ETO 75uM,GSDME#18,3.500299269,siE#18_ETO
3,ETO 75uM,GSDMD#1,5.150739841,siD#1_ETO
3,ETO 75uM,GSDMD#19,6.406221153,siD#19_ETO
