Exp.N,Hour,Treat,red.per,Cells
1,0,siControl,0.018311273,MP65
1,2,siControl,0.017657645,MP65
1,4,siControl,0.018183954,MP65
1,6,siControl,0.019468085,MP65
1,8,siControl,0.020220121,MP65
1,10,siControl,0.020889301,MP65
1,12,siControl,0.021337898,MP65
1,14,siControl,0.021310868,MP65
1,16,siControl,0.021417238,MP65
1,18,siControl,0.021519584,MP65
1,20,siControl,0.021079924,MP65
1,22,siControl,0.020954248,MP65
1,24,siControl,0.02116803,MP65
1,26,siControl,0.021118136,MP65
1,28,siControl,0.020998187,MP65
1,30,siControl,0.021055366,MP65
1,32,siControl,0.021470647,MP65
1,34,siControl,0.02163057,MP65
1,36,siControl,0.021723734,MP65
1,38,siControl,0.02198658,MP65
1,40,siControl,0.021880091,MP65
1,42,siControl,0.022684189,MP65
1,44,siControl,0.022577853,MP65
1,46,siControl,0.022953117,MP65
1,48,siControl,0.023083375,MP65
1,50,siControl,0.023106899,MP65
1,52,siControl,0.023315463,MP65
1,54,siControl,0.023700807,MP65
1,56,siControl,0.023317868,MP65
1,58,siControl,0.024230081,MP65
1,60,siControl,0.024320814,MP65
1,62,siControl,0.02399037,MP65
1,64,siControl,0.024702355,MP65
1,66,siControl,0.024209277,MP65
1,68,siControl,0.024971028,MP65
1,70,siControl,0.025223175,MP65
1,72,siControl,0.025248291,MP65
1,0,siCPT1A #1,0.028521651,MP65
1,2,siCPT1A #1,0.027515444,MP65
1,4,siCPT1A #1,0.027884541,MP65
1,6,siCPT1A #1,0.028981463,MP65
1,8,siCPT1A #1,0.030473023,MP65
1,10,siCPT1A #1,0.032289232,MP65
1,12,siCPT1A #1,0.033440826,MP65
1,14,siCPT1A #1,0.034760873,MP65
1,16,siCPT1A #1,0.035934983,MP65
1,18,siCPT1A #1,0.038396527,MP65
1,20,siCPT1A #1,0.040652159,MP65
1,22,siCPT1A #1,0.04111093,MP65
1,24,siCPT1A #1,0.04259229,MP65
1,26,siCPT1A #1,0.044201782,MP65
1,28,siCPT1A #1,0.044943314,MP65
1,30,siCPT1A #1,0.045734688,MP65
1,32,siCPT1A #1,0.046450959,MP65
1,34,siCPT1A #1,0.047047561,MP65
1,36,siCPT1A #1,0.046961208,MP65
1,38,siCPT1A #1,0.048444245,MP65
1,40,siCPT1A #1,0.048451514,MP65
1,42,siCPT1A #1,0.049035316,MP65
1,44,siCPT1A #1,0.049648038,MP65
1,46,siCPT1A #1,0.049999422,MP65
1,48,siCPT1A #1,0.050422733,MP65
1,50,siCPT1A #1,0.05041289,MP65
1,52,siCPT1A #1,0.051376699,MP65
1,54,siCPT1A #1,0.051168356,MP65
1,56,siCPT1A #1,0.051447025,MP65
1,58,siCPT1A #1,0.052444566,MP65
1,60,siCPT1A #1,0.052260162,MP65
1,62,siCPT1A #1,0.052685591,MP65
1,64,siCPT1A #1,0.05275584,MP65
1,66,siCPT1A #1,0.052789402,MP65
1,68,siCPT1A #1,0.054101767,MP65
1,70,siCPT1A #1,0.053897854,MP65
1,72,siCPT1A #1,0.054683011,MP65
1,0,siCPT1A #2,0.024135427,MP65
1,2,siCPT1A #2,0.023646813,MP65
1,4,siCPT1A #2,0.024007735,MP65
1,6,siCPT1A #2,0.025479464,MP65
1,8,siCPT1A #2,0.027622703,MP65
1,10,siCPT1A #2,0.028813459,MP65
1,12,siCPT1A #2,0.03063414,MP65
1,14,siCPT1A #2,0.032565792,MP65
1,16,siCPT1A #2,0.033752786,MP65
1,18,siCPT1A #2,0.036190916,MP65
1,20,siCPT1A #2,0.037545238,MP65
1,22,siCPT1A #2,0.039424403,MP65
1,24,siCPT1A #2,0.041194013,MP65
1,26,siCPT1A #2,0.043706747,MP65
