patient,cBioPortal ID.1,PScore,CPT1AinhibUP,CPT1AinhibDN,Han_OxPhos_group,OxPhos,SCNA,GSDMD,GSDME,Immune_Subtype,Leukocyte_Fraction_PANCAN,Stromal_Fraction_PANCAN,Proliferation_PANCAN,Lymphocyte_Infiltration_Signature_Score_PANCAN,T_Cells_CD8_PANCAN
TCGA.VD.AA8M.01A.11R.A405.07,TCGA-VD-AA8M,-0.304183616,0.028113273,-0.302751336,unaltered,Unaltered,1,1682.52,372.028,C3,0.021030226,0,-1.6602,-1.6702,0.060262809
TCGA.WC.A87T.01A.11R.A405.07,TCGA-WC-A87T,-0.018686302,0.009429507,-0.044440741,unaltered,Unaltered,1,1067.86,895.797,C4,0.016322483,0.13,-1.4213,-2.6408,0.007222161
TCGA.WC.A880.01A.11R.A405.07,TCGA-WC-A880,-0.269975049,0.001514465,-0.328373724,unaltered,Unaltered,1,956.452,207.647,C4,0.027651516,0.04,-1.5204,-2.0861,0.098487602
TCGA.V4.A9EC.01A.11R.A405.07,TCGA-V4-A9EC,-0.351063153,-0.002172425,-0.137988451,unaltered,Unaltered,1,1469.91,923.007,C4,0.013052313,0,-1.5931,-2.0919,0
TCGA.WC.A884.01A.11R.A405.07,TCGA-WC-A884,-0.04190273,-0.011444752,0.050591527,unaltered,Unaltered,1,1543.45,631.463,C3,0.144627244,0.17,-0.9793,-0.0631,0.131020842
TCGA.VD.AA8R.01A.11R.A405.07,TCGA-VD-AA8R,-0.395432843,-0.043649012,-0.097310298,unaltered,Unaltered,1,1537.2,693.339,C5,0.017919702,0.06,-2.4835,-2.7786,0
TCGA.V4.A9F7.01A.11R.A405.07,TCGA-V4-A9F7,-0.068195468,-0.052277737,-0.234542444,unaltered,Unaltered,1,1149.63,754.457,C4,0.011472459,0,-1.033,-2.6184,0.000281086
TCGA.WC.A87U.01A.11R.A405.07,TCGA-WC-A87U,-0.079219835,-0.065981451,-0.323379635,unaltered,Unaltered,1,1596.78,898.659,C4,0.015196643,0,-1.0735,-2.1341,0.016066154
TCGA.YZ.A983.01A.11R.A405.07,TCGA-YZ-A983,-0.147568088,-0.088938286,-0.386336668,unaltered,Unaltered,1,1469.83,903.941,C4,0.02108054,0.06,-1.0355,-1.8949,0.030245458
TCGA.V3.A9ZY.01A.11R.A405.07,TCGA-V3-A9ZY,-0.187008815,-0.091720418,-0.164208803,unaltered,Unaltered,1,2461.31,978.102,C4,0.031308369,0.02,-2.089,-1.4736,0.097422282
TCGA.V4.A9EY.01A.11R.A405.07,TCGA-V4-A9EY,-0.223749988,-0.098326514,-0.032002233,unaltered,Unaltered,1,4191.73,355.022,C4,0.035347119,0.35,-2.5537,-1.5662,0.061400112
TCGA.VD.A8KO.01A.11R.A405.07,TCGA-VD-A8KO,-0.023686465,-0.166567402,-0.157174496,unaltered,Unaltered,1,1110.14,441.112,C4,0.01124698,0.01,-0.7412,-2.7279,0.001293574
TCGA.V4.A9EH.01A.11R.A405.07,TCGA-V4-A9EH,0.313505673,-0.178297943,-0.011424526,unaltered,Unaltered,1,2768.22,398.952,C4,0.029723937,0.29,-1.7094,-0.1268,0.170696503
TCGA.VD.A8KE.01A.11R.A405.07,TCGA-VD-A8KE,-0.310401463,-0.220211921,-0.184227231,unaltered,Unaltered,1,1467.02,1084.04,C4,0.023811463,0.04,-2.1905,-2.0703,0.042894977
TCGA.VD.AA8Q.01A.11R.A405.07,TCGA-VD-AA8Q,-0.191460744,-0.376185397,0.304010168,unaltered,Unaltered,1,2451.47,232.353,C3,0.038907744,0.07,-2.3911,-0.5823,0.089543521
TCGA.V4.A9E9.01A.11R.A405.07,TCGA-V4-A9E9,-0.454260891,0.250421776,-0.419990162,unaltered,Unaltered,2,3050.18,3789.82,C4,0.005347683,0,-2.1698,-2.732,0.034780814
TCGA.V4.A9EJ.01A.11R.A405.07,TCGA-V4-A9EJ,-0.248788127,0.139612424,-0.427345761,unaltered,Unaltered,2,1989.61,1469.76,C4,0.02823113,0.05,-1.2037,-1.8702,0.088894162
TCGA.V4.A9EZ.01A.11R.A405.07,TCGA-V4-A9EZ,-0.291883453,0.139579423,0.06875258,unaltered,Unaltered,2,4460.94,878.906,C4,0.023513373,0.04,-1.6316,-1.7734,0.034694274
TCGA.VD.A8KJ.01A.11R.A405.07,TCGA-VD-A8KJ,-0.168279211,0.122623738,0.013411677,unaltered,Unaltered,2,2228.87,471.175,C4,0.020501045,0.01,-0.6081,-2.4537,0.024118098
TCGA.WC.A885.01A.11R.A405.07,TCGA-WC-A885,-0.490794766,0.109727182,-0.423847736,unaltered,Unaltered,2,2012.32,480.396,C4,0.009945361,0.06,-1.3776,-2.7549,0.036907047
