Exp.N,Treat,siRNA,AUC,Group,Cells
1,DMSO,Control,0.064216092,siCon_DMSO,MP38
1,DMSO,GSDME#4,0.068589265,siE#4_DMSO,MP38
1,DMSO,GSDME#18,0.063272115,siE#18_DMSO,MP38
1,DMSO,GSDMD#1,0.381405194,siD#1_DMSO,MP38
1,DMSO,GSDMD#19,0.050340129,siD#19_DMSO,MP38
1,ETO,Control,0.835572649,siCon_ETO,MP38
1,ETO,GSDME#4,0.607907816,siE#4_ETO,MP38
1,ETO,GSDME#18,0.371284918,siE#18_ETO,MP38
1,ETO,GSDMD#1,1.795764585,siD#1_ETO,MP38
1,ETO,GSDMD#19,1.032203897,siD#19_ETO,MP38
2,DMSO,Control,0.062738595,siCon_DMSO,MP38
2,DMSO,GSDME#4,0.053023445,siE#4_DMSO,MP38
2,DMSO,GSDME#18,0.047394791,siE#18_DMSO,MP38
2,DMSO,GSDMD#1,0.427608447,siD#1_DMSO,MP38
2,DMSO,GSDMD#19,0.069226579,siD#19_DMSO,MP38
2,ETO,Control,0.89124164,siCon_ETO,MP38
2,ETO,GSDME#4,0.456542408,siE#4_ETO,MP38
2,ETO,GSDME#18,0.327368509,siE#18_ETO,MP38
2,ETO,GSDMD#1,1.934388948,siD#1_ETO,MP38
2,ETO,GSDMD#19,0.901647615,siD#19_ETO,MP38
3,DMSO,Control,0.345051889,siCon_DMSO,MP38
3,DMSO,GSDME#4,0.294363023,siE#4_DMSO,MP38
3,DMSO,GSDME#18,0.296594243,siE#18_DMSO,MP38
3,DMSO,GSDMD#1,0.384756482,siD#1_DMSO,MP38
3,DMSO,GSDMD#19,0.455252775,siD#19_DMSO,MP38
3,ETO,Control,1.155673186,siCon_ETO,MP38
3,ETO,GSDME#4,0.649132939,siE#4_ETO,MP38
3,ETO,GSDME#18,0.713241773,siE#18_ETO,MP38
3,ETO,GSDMD#1,1.425404539,siD#1_ETO,MP38
3,ETO,GSDMD#19,1.207949977,siD#19_ETO,MP38
4,DMSO,Control,0.46001598,siCon_DMSO,MP38
4,DMSO,GSDME#4,0.44604117,siE#4_DMSO,MP38
4,DMSO,GSDME#18,0.40422433,siE#18_DMSO,MP38
4,DMSO,GSDMD#1,0.4716556,siD#1_DMSO,MP38
4,DMSO,GSDMD#19,0.53319664,siD#19_DMSO,MP38
4,ETO,Control,0.834616346,siCon_ETO,MP38
4,ETO,GSDME#4,0.712784804,siE#4_ETO,MP38
4,ETO,GSDME#18,0.620407021,siE#18_ETO,MP38
4,ETO,GSDMD#1,1.388660621,siD#1_ETO,MP38
4,ETO,GSDMD#19,0.968816377,siD#19_ETO,MP38
1,DMSO,Control,1.034712899,siCon_DMSO,MP46
1,DMSO,GSDME#4,1.388282898,siE#4_DMSO,MP46
1,DMSO,GSDME#18,0.606576052,siE#18_DMSO,MP46
1,DMSO,GSDMD#1,1.281373265,siD#1_DMSO,MP46
1,DMSO,GSDMD#19,0.77828613,siD#19_DMSO,MP46
1,ETO,Control,4.557180328,siCon_ETO,MP46
1,ETO,GSDME#4,2.767378903,siE#4_ETO,MP46
1,ETO,GSDME#18,2.801172252,siE#18_ETO,MP46
1,ETO,GSDMD#1,5.694306141,siD#1_ETO,MP46
1,ETO,GSDMD#19,6.005057141,siD#19_ETO,MP46
2,DMSO,Control,0.590338229,siCon_DMSO,MP46
2,DMSO,GSDME#4,0.458002449,siE#4_DMSO,MP46
2,DMSO,GSDME#18,0.937916413,siE#18_DMSO,MP46
2,DMSO,GSDMD#1,1.454155393,siD#1_DMSO,MP46
2,DMSO,GSDMD#19,0.618864917,siD#19_DMSO,MP46
2,ETO,Control,5.885932896,siCon_ETO,MP46
2,ETO,GSDME#4,2.764013445,siE#4_ETO,MP46
2,ETO,GSDME#18,3.371934379,siE#18_ETO,MP46
2,ETO,GSDMD#1,4.990634865,siD#1_ETO,MP46
2,ETO,GSDMD#19,5.842533022,siD#19_ETO,MP46
3,DMSO,Control,0.33145375,siCon_DMSO,MP46
3,DMSO,GSDME#4,0.25764887,siE#4_DMSO,MP46
3,DMSO,GSDME#18,0.24176941,siE#18_DMSO,MP46
3,DMSO,GSDMD#1,0.272197327,siD#1_DMSO,MP46
3,DMSO,GSDMD#19,0.281409966,siD#19_DMSO,MP46
3,ETO,Control,5.395656556,siCon_ETO,MP46
3,ETO,GSDME#4,3.978385946,siE#4_ETO,MP46
3,ETO,GSDME#18,3.500299269,siE#18_ETO,MP46
3,ETO,GSDMD#1,5.150739841,siD#1_ETO,MP46
3,ETO,GSDMD#19,6.406221153,siD#19_ETO,MP46
